promo_code,url
50PGYMWM,https://www.amazon.com/promocode/AHM9QB59MVGMA
40X6RETR,https://www.amazon.com/promocode/AYDGUQ9H654HC
30HJ2XGJ,https://www.amazon.com/promocode/A20GQ1AJX9D4EU
50TSKBJW,https://www.amazon.com/promocode/AOC1Z92LYJXY0
45XHFTA9,https://www.amazon.com/promocode/A2XQOQ4WYAOJBM
45AX96BQ,https://www.amazon.com/promocode/A2NE7YVZ4CD16J
50XSXJOH,https://www.amazon.com/promocode/A1APMU45GKSTMV
60EZMEUN,https://www.amazon.com/promocode/A2QRH8VETFKS2Q
70HYPEKS,https://www.amazon.com/promocode/A2Q906DJ0IC9PQ
50MNCK5B,https://www.amazon.com/promocode/AF57HKB3KRMWD
70MOLP8O,https://www.amazon.com/promocode/A5R23ANNTG8JF
70UZCVW6,https://www.amazon.com/promocode/A3ET8KML8666OW
404DC9HH,https://www.amazon.com/promocode/AWHTVKNKSU1E1
70N7A364,https://www.amazon.com/promocode/A24NQMERNXEBPR
70I3E2XE,https://www.amazon.com/promocode/A2QQVVBVGPLED
40WPJDRY,https://www.amazon.com/promocode/A2EEJXDXXXET9
66NDHBP7,https://www.amazon.com/promocode/AT69FRUDWAOY0
803PD8WB,https://www.amazon.com/promocode/A2NG20SM1JZUGS
80IGT6T2,https://www.amazon.com/promocode/A13J3H5ECQ3ZV3
60KRGSE6,https://www.amazon.com/promocode/AZZEM2YGZHW4C
60S5Q4FC,https://www.amazon.com/promocode/AHUCI06PJBN7D
65TCYQ1Z,https://www.amazon.com/promocode/A2SYCRPP6WXJ7I
65NOHENF,https://www.amazon.com/promocode/A2VZBZF6PN567R
80CKVLXY,https://www.amazon.com/promocode/A3GYN160FNDNRY
80TXCJED,https://www.amazon.com/promocode/A2CIMFPZKZ5MBZ
80V5TEFU,https://www.amazon.com/promocode/A2DC9ECIJTMGE6
80EUYTWT,https://www.amazon.com/promocode/A2VDPLBEXFW7SH
80AR6JIY,https://www.amazon.com/promocode/A1GPVCIYJ1S85H
80E5ZV64,https://www.amazon.com/promocode/A2EOUKRO64JEMC
20QWP4KT,https://www.amazon.com/promocode/A2VFUPD1XNMDCI
806BMSQY,https://www.amazon.com/promocode/A5NLD2XU5XKWV
809K4LS3,https://www.amazon.com/promocode/A1UJJFB756KD4M
80UAGGAC,https://www.amazon.com/promocode/A97S1KL9M3GM2
80Q8HHM2,https://www.amazon.com/promocode/A3DCN64W2RDJRV
151K8R32,https://www.amazon.com/promocode/A1KY73DZCGMW45
80RDJR6K,https://www.amazon.com/promocode/AYKYTTHVECVCB
805MVI17,https://www.amazon.com/promocode/A33M8PATR63SAM
50FEB2021,https://www.amazon.com/promocode/A2GNDUVRSHYN2Z
80J5WDSW,https://www.amazon.com/promocode/A30EB4W3AJ10ZD
80A6LR51,https://www.amazon.com/promocode/A1AU6ZNM0D4L8P
809JKEIG,https://www.amazon.com/promocode/AYN83XIF6J6JA
80VQNQ7M,https://www.amazon.com/promocode/AUCR9O1P1GJA8
80WMNZZT,https://www.amazon.com/promocode/AX6V54182VPTK
